"Id","Level","Visible","Title","Url","Order","ParentId","ParentTitle"
"2011","Level 1","True","V?ra varum?rken","/sites/Intra-SE-Kesko","1","0",""
"2012","Level 2","True","K-Bygg","https://keskogroup.sharepoint.com/sites/Intra-SE-Kbygg","2","2011","V?ra varum?rken"
"2013","Level 2","True","K-Rauta Sverige","https://keskogroup.sharepoint.com/sites/Intra-SE-KRauta","3","2011","V?ra varum?rken"
"2014","Level 2","True","Onninen Sverige","https://keskogroup.sharepoint.com/sites/Intra-SE-Onninen","4","2011","V?ra varum?rken"
"2015","Level 1","True","Om oss","/sites/Intra-SE-Kesko","5","0",""
"2016","Level 2","True","Organisation","/sites/Intra-SE-Kesko/SitePages/Organisation.aspx","6","2015","Om oss"
"2079","Level 2","True","Kontakt","/sites/Intra-SE-Kesko/SitePages/Kontakt.aspx","7","2015","Om oss"
"2017","Level 2","True","H?llbarhet","/sites/Intra-SE-Kesko/SitePages/Hallbarhet.aspx","8","2015","Om oss"
"2018","Level 2","True","V?rderingar","/sites/Intra-SE-Kesko/SitePages/Varderingar.aspx","9","2015","Om oss"
"2019","Level 2","True","Code of Conduct","/sites/Intra-SE-Kesko/SitePages/Code-of-Conduct.aspx","10","2015","Om oss"
"2020","Level 2","True","Policyer","/sites/Intra-SE-Kesko/SitePages/Policyer.aspx","11","2015","Om oss"
"2021","Level 2","True","Strategi","/sites/Intra-SE-Kesko/SitePages/Strategi.aspx","12","2015","Om oss"
"2022","Level 2","True","SpeakUp","/sites/Intra-SE-Kesko/SitePages/speakup.aspx","13","2015","Om oss"
"2070","Level 2","True","ISO","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-ISO","14","2015","Om oss"
"2077","Level 3","True","Verksamhetsstyrning","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-ISO/SitePages/Verksamhetsstyrning.aspx","15","2070","ISO"
"2076","Level 3","True","Certifikat och intyg","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-ISO/SitePages/Certifikat-och-intyg.aspx","16","2070","ISO"
"2030","Level 1","True","St?d och service","/sites/Intra-SE-Kesko","17","0",""
"2034","Level 2","True","Fastigheter","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-Fastigheter/SitePages/Support.aspx","18","2030","St?d och service"
"2033","Level 2","True","Ekonomi","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-Finans/SitePages/Support.aspx","19","2030","St?d och service"
"2032","Level 2","True","HR","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-HR/SitePages/Support.aspx","20","2030","St?d och service"
"2031","Level 2","True","IT","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-IT/SitePages/Support.aspx","21","2030","St?d och service"
"2035","Level 2","True","S?kerhet","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-Sakerhet/SitePages/Support.aspx","22","2030","St?d och service"
"2036","Level 2","True","Dokumentmallar","/sites/Intra-SE-Kesko/SitePages/Dokumentmallar.aspx","23","2030","St?d och service"
"2067","Level 2","True","Verksamhetssystem (MASK)","/sites/Intra-SE-Kesko/SitePages/Verksamhetssystem-(MASK).aspx","24","2030","St?d och service"
"2072","Level 2","True","Handbok Milj?, arbetsmilj? och s?kerhet","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-HandbokMiljoarbetsmiljoochsakerhet","25","2030","St?d och service"
"2073","Level 3","True","Milj?","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-HandbokMiljoarbetsmiljoochsakerhet/SitePages/Milj%C3%B6.aspx","26","2072","Handbok Milj?, arbetsmilj? och s?kerhet"
"2074","Level 3","True","Arbetsmilj?","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-HandbokMiljoarbetsmiljoochsakerhet/SitePages/Arbetsmilj%C3%B6.aspx","27","2072","Handbok Milj?, arbetsmilj? och s?kerhet"
"2075","Level 3","True","S?kerhet","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-HandbokMiljoarbetsmiljoochsakerhet/SitePages/S%C3%A4kerhet.aspx","28","2072","Handbok Milj?, arbetsmilj? och s?kerhet"
"2037","Level 1","True","Gemensamma funktioner","/sites/Intra-SE-Kesko","29","0",""
"2038","Level 2","True","Fastigheter","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-Fastigheter","30","2037","Gemensamma funktioner"
"2039","Level 2","True","Finans","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-Finans","31","2037","Gemensamma funktioner"
"2040","Level 2","True","HR","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-HR","32","2037","Gemensamma funktioner"
"2041","Level 2","True","IT","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-IT","33","2037","Gemensamma funktioner"
"2042","Level 2","True","Kommersiell/Ink?p","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-Kommersiell-Inkop","34","2037","Gemensamma funktioner"
"2043","Level 2","True","Logistik","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-Logistik","35","2037","Gemensamma funktioner"
"2058","Level 2","True","S?kerhet","https://keskogroup.sharepoint.com/sites/Intra-SE-Kesko-Sakerhet/","36","2037","Gemensamma funktioner"
"2044","Level 1","True","Mina intran?t","/sites/Intra-SE-Kesko","37","0",""
"2045","Level 2","True","Kesko  i Sverige","/sites/Intra-SE-Kesko","38","2044","Mina intran?t"
"2046","Level 2","True","K-Bygg","https://keskogroup.sharepoint.com/sites/Intra-SE-Kbygg","39","2044","Mina intran?t"
"2047","Level 2","True","K-Rauta Sverige","https://keskogroup.sharepoint.com/sites/Intra-SE-KRauta","40","2044","Mina intran?t"
"2048","Level 2","True","Onninen Sverige","https://keskogroup.sharepoint.com/sites/Intra-SE-Onninen","41","2044","Mina intran?t"
"2056","Level 2","True","Keskonet Global","http://keskonet.kesko.com/XX/EN/Pages/Default.aspx","42","2044","Mina intran?t"
